score_type,regime,tier,singular_index,mean_energy_fraction,n_samples
Score 2,aggressive,noisy,46,0.00108678312972188,411
Score 2,aggressive,noisy,47,0.02036331407725811,411
Score 2,aggressive,noisy,48,0.0037490662652999163,411
Score 2,aggressive,noisy,49,0.020700505003333092,411
Score 2,aggressive,noisy,50,0.010405167005956173,411
Score 2,aggressive,noisy,51,0.011134505271911621,411
Score 2,aggressive,noisy,52,0.015223503112792969,411
Score 2,aggressive,noisy,53,0.00801099557429552,411
Score 2,aggressive,noisy,54,0.02567249909043312,411
Score 2,aggressive,noisy,55,0.025296268984675407,411
Score 2,aggressive,noisy,56,0.0002623980399221182,411
Score 2,aggressive,noisy,57,0.028164932504296303,411
Score 2,stealthy,structural,1,0.2764253616333008,229
Score 2,stealthy,structural,2,0.007526389788836241,229
Score 2,stealthy,structural,3,0.05709269270300865,229
Score 2,stealthy,structural,4,0.0631512925028801,229
Score 2,stealthy,structural,5,0.00710628367960453,229
Score 2,stealthy,structural,6,0.2138584405183792,229
Score 2,stealthy,structural,7,0.020954621955752373,229
Score 2,stealthy,structural,8,0.0032606625463813543,229
Score 2,stealthy,structural,9,0.05447329208254814,229
Score 2,stealthy,structural,10,0.08224569261074066,229
Score 2,stealthy,structural,11,0.00836946815252304,229
Score 2,stealthy,structural,12,0.043112125247716904,229
Score 2,stealthy,structural,13,0.0026776527520269156,229
Score 2,stealthy,structural,14,0.005864645354449749,229
Score 2,stealthy,structural,15,0.000653422437608242,229
Score 2,stealthy,structural,16,0.0014416186604648829,229
Score 2,stealthy,structural,17,0.0011125026503577828,229
Score 2,stealthy,structural,18,0.00037316486123017967,229
Score 2,stealthy,structural,19,0.0005471595213748515,229
Score 2,stealthy,structural,20,0.0017349895788356662,229
Score 2,stealthy,structural,21,0.0005168236675672233,229
Score 2,stealthy,structural,22,0.0011082665296271443,229
Score 2,stealthy,structural,23,0.017227686941623688,229
Score 2,stealthy,structural,24,0.002724056364968419,229
Score 2,stealthy,structural,25,0.015871448442339897,229
Score 2,stealthy,structural,26,0.0007571700843982399,229
Score 2,stealthy,structural,27,0.0016587759600952268,229
Score 2,stealthy,structural,28,0.00031875024433247745,229
Score 2,stealthy,structural,29,0.005906162783503532,229
Score 2,stealthy,structural,30,0.00028330646455287933,229
Score 2,stealthy,structural,31,0.0006120337056927383,229
Score 2,stealthy,structural,32,0.001219273661263287,229
Score 2,stealthy,structural,33,0.00046181908692233264,229
Score 2,stealthy,structural,34,0.0020151357166469097,229
Score 2,stealthy,structural,35,0.0003182905784342438,229
Score 2,stealthy,structural,36,0.0008799979113973677,229
Score 2,stealthy,structural,37,0.0026537133380770683,229
Score 2,stealthy,structural,38,0.004114208742976189,229
Score 2,stealthy,structural,39,0.00034900815808214247,229
Score 2,stealthy,structural,40,0.00033214929862879217,229
Score 2,stealthy,structural,41,0.0004909085109829903,229
Score 2,stealthy,structural,42,0.00042028495226986706,229
Score 2,stealthy,structural,43,0.0006104767671786249,229
Score 2,stealthy,structural,44,9.521133324597031e-05,229
Score 2,stealthy,structural,45,0.0008315427112393081,229
Score 2,stealthy,structural,46,0.0001461855135858059,229
Score 2,stealthy,structural,47,0.002351984614506364,229
Score 2,stealthy,structural,48,0.0004431423731148243,229
Score 2,stealthy,structural,49,0.0018186550587415695,229
Score 2,stealthy,structural,50,0.002868488896638155,229
Score 2,stealthy,structural,51,0.0014252235414460301,229
Score 2,stealthy,structural,52,0.009892312809824944,229
Score 2,stealthy,structural,53,0.00019498041365295649,229
Score 2,stealthy,structural,54,0.0065293447114527225,229
Score 2,stealthy,structural,55,0.0600898452103138,229
Score 2,stealthy,structural,56,8.13291990198195e-06,229
Score 2,stealthy,structural,57,0.00047374938731081784,229
Score 2,stealthy,noisy,1,0.30920594930648804,339
Score 2,stealthy,noisy,2,0.007306801620870829,339
Score 2,stealthy,noisy,3,0.05779628828167915,339
Score 2,stealthy,noisy,4,0.05530794709920883,339
