Attack metrics report
Dataset: taiwan_bankruptcy
Attack: pgd
epsilon=0.1

Correctly-classified originals: 2998/3410
Successfully attacked (among correct): 2997/2998
ASR (among correct): 0.9997

Changed samples among correct (any feature changed): 2998/2998
Max |delta| among correct: 0.1

Changed samples among successful attacks: 2997/2997
Max |delta| among successful attacks: 0.1

Summary of perturbation size (delta = X_adv - X_test) over correctly-classified originals
  MAE  : mean=0.0789688 median=0.0788513 min=0.0717259 max=0.0926476
  RMSE : mean=0.0881643 median=0.0881665 min=0.0837337 max=0.095802
  L1   : mean=7.42307 median=7.41202 min=6.74223 max=8.70887
  L2   : mean=0.854785 median=0.854806 min=0.811828 max=0.928835
  Linf : mean=0.1 median=0.1 min=0.1 max=0.1

Original vs Perturbed (these can look very similar if delta is small)
Subset: correctly-classified originals
  MAE  : orig_mean=0.326241 adv_mean=0.353497 mean|diff|=0.0272564 max|diff|=0.0364327
  RMSE : orig_mean=0.450105 adv_mean=0.474387 mean|diff|=0.0243157 max|diff|=0.0364442
  L1   : orig_mean=30.6666 adv_mean=33.2287 mean|diff|=2.56211 max|diff|=3.42467
  L2   : orig_mean=4.36393 adv_mean=4.59936 mean|diff|=0.235749 max|diff|=0.35334
  Linf : orig_mean=0.999071 adv_mean=0.999895 mean|diff|=0.00101157 max|diff|=0.0561589

Subset: successfully-attacked (among correct)
  MAE  : orig_mean=0.326228 adv_mean=0.353486 mean|diff|=0.0272584 max|diff|=0.0364327
  RMSE : orig_mean=0.450089 adv_mean=0.474377 mean|diff|=0.0243218 max|diff|=0.0364442
  L1   : orig_mean=30.6654 adv_mean=33.2277 mean|diff|=2.56229 max|diff|=3.42467
  L2   : orig_mean=4.36377 adv_mean=4.59926 mean|diff|=0.235809 max|diff|=0.35334
  Linf : orig_mean=0.999071 adv_mean=0.999895 mean|diff|=0.00101191 max|diff|=0.0561589

Per-sample details (correctly-classified originals)
idx,attack_success,changed,mae_delta,rmse_delta,l1_delta,l2_delta,linf_delta
178,1,1,0.0786817,0.0876018,7.39608,0.84933,0.1
179,1,1,0.0790633,0.0884689,7.43195,0.857738,0.1
181,1,1,0.0789308,0.0883835,7.41949,0.85691,0.1
183,1,1,0.0797445,0.0886845,7.49598,0.859828,0.1
184,1,1,0.0793465,0.0885101,7.45857,0.858137,0.1
185,1,1,0.087882,0.0928479,8.26091,0.900194,0.1
186,1,1,0.0782003,0.0879284,7.35082,0.852498,0.1
187,1,1,0.0792065,0.088539,7.44541,0.858417,0.1
188,1,1,0.080173,0.089093,7.53626,0.863789,0.1
189,1,1,0.0779578,0.0877116,7.32803,0.850396,0.1
190,1,1,0.0790246,0.0884747,7.42831,0.857794,0.1
191,1,1,0.0788664,0.0883543,7.41344,0.856627,0.1
192,1,1,0.0778022,0.0877424,7.3134,0.850694,0.1
193,1,1,0.0791959,0.0883095,7.44441,0.856192,0.1
194,1,1,0.0775004,0.0874192,7.28504,0.847561,0.1
195,1,1,0.0778095,0.0871031,7.31409,0.844496,0.1
197,1,1,0.0810837,0.0895476,7.62186,0.868196,0.1
198,1,1,0.0806662,0.0894276,7.58263,0.867033,0.1
199,1,1,0.0774252,0.0873733,7.27797,0.847115,0.1
200,1,1,0.078929,0.0884316,7.41932,0.857376,0.1
201,1,1,0.0718467,0.0841348,6.75359,0.815717,0.1
202,1,1,0.078485,0.0881474,7.37759,0.85462,0.1
203,1,1,0.0790972,0.0880798,7.43514,0.853966,0.1
204,1,1,0.0884793,0.0933807,8.31705,0.90536,0.1
205,1,1,0.0799167,0.0888065,7.51217,0.861011,0.1
206,1,1,0.0803454,0.0891784,7.55247,0.864616,0.1
207,1,1,0.0805792,0.0894591,7.57445,0.867338,0.1
208,1,1,0.0787334,0.0874022,7.40094,0.847396,0.1
209,1,1,0.0798059,0.0886969,7.50175,0.859948,0.1
210,1,1,0.0777291,0.0876899,7.30654,0.850185,0.1
211,1,1,0.0798643,0.0887961,7.50725,0.86091,0.1
213,1,1,0.0800891,0.0890591,7.52837,0.86346,0.1
214,1,1,0.0786112,0.0881083,7.38945,0.854242,0.1
215,1,1,0.0790813,0.0881927,7.43364,0.85506,0.1
216,1,1,0.0782351,0.0879483,7.3541,0.852691,0.1
217,1,1,0.0776386,0.0867784,7.29803,0.841348,0.1
218,1,1,0.0785795,0.0880646,7.38647,0.853818,0.1
219,1,1,0.0782942,0.0875472,7.35965,0.848802,0.1
220,1,1,0.0780187,0.0879151,7.33376,0.852368,0.1
221,1,1,0.0794021,0.0886612,7.4638,0.859602,0.1
222,1,1,0.0802843,0.0892282,7.54672,0.8651,0.1
223,1,1,0.079452,0.0885517,7.46849,0.85854,0.1
224,1,1,0.0801824,0.0891085,7.53715,0.863939,0.1
225,1,1,0.0805747,0.0893226,7.57402,0.866015,0.1
226,1,1,0.0790099,0.088232,7.42693,0.855441,0.1
227,1,1,0.0804898,0.0892768,7.56604,0.865571,0.1
228,1,1,0.0902111,0.0943581,8.47984,0.914836,0.1
229,1,1,0.0789327,0.0883956,7.41968,0.857027,0.1
230,1,1,0.0784335,0.0879474,7.37275,0.852682,0.1
231,1,1,0.0805941,0.0891004,7.57585,0.86386,0.1
232,1,1,0.0780203,0.0872743,7.33391,0.846155,0.1
233,1,1,0.0764331,0.086865,7.18472,0.842187,0.1
234,1,1,0.0787605,0.0882518,7.40348,0.855633,0.1
235,1,1,0.0787755,0.0882441,7.40489,0.855558,0.1
237,1,1,0.0785154,0.0881518,7.38045,0.854663,0.1
238,1,1,0.0804759,0.0891102,7.56473,0.863956,0.1
239,1,1,0.0804904,0.0892417,7.5661,0.86523,0.1
240,1,1,0.0803974,0.0891992,7.55736,0.864818,0.1
241,1,1,0.0870777,0.0927123,8.18531,0.898879,0.1
242,1,1,0.0784434,0.0879885,7.37368,0.85308,0.1
243,1,1,0.0790914,0.0881045,7.43459,0.854205,0.1
244,1,1,0.0770218,0.0866052,7.24005,0.839669,0.1
245,1,1,0.080827,0.0893246,7.59774,0.866034,0.1
246,1,1,0.0789766,0.0882851,7.4238,0.855956,0.1
247,1,1,0.080831,0.0890301,7.59811,0.863179,0.1
248,1,1,0.0781045,0.0876667,7.34182,0.84996,0.1
249,1,1,0.0775417,0.0865506,7.28892,0.839139,0.1
250,1,1,0.0792347,0.088689,7.44806,0.859872,0.1
251,1,1,0.0781395,0.0877174,7.34511,0.850451,0.1
252,1,1,0.0815537,0.0900173,7.66605,0.87275,0.1
253,1,1,0.0793814,0.0884999,7.46186,0.858038,0.1
255,1,1,0.0787785,0.0881106,7.40518,0.854264,0.1
256,1,1,0.0788629,0.0883553,7.41311,0.856637,0.1
257,1,1,0.0782805,0.0878414,7.35837,0.851654,0.1
258,1,1,0.0785439,0.0879064,7.38313,0.852284,0.1
259,1,1,0.0783544,0.0879361,7.36532,0.852572,0.1
260,1,1,0.0763372,0.0863131,7.1757,0.836836,0.1
261,1,1,0.0757186,0.0858637,7.11755,0.83248,0.1
262,1,1,0.0755303,0.0856881,7.09984,0.830777,0.1
265,1,1,0.0743799,0.0850857,6.99171,0.824937,0.1
266,1,1,0.0765942,0.0858512,7.19985,0.832358,0.1
267,1,1,0.0783693,0.0879916,7.36671,0.85311,0.1
269,1,1,0.0793102,0.0885137,7.45516,0.858172,0.1
270,1,1,0.0790725,0.0883644,7.43281,0.856724,0.1
271,1,1,0.0753456,0.0852037,7.08249,0.826081,0.1
273,1,1,0.081011,0.0895599,7.61503,0.868316,0.1
274,1,1,0.0789323,0.0881071,7.41964,0.85423,0.1
276,1,1,0.0800544,0.0888444,7.52511,0.861378,0.1
277,1,1,0.0795273,0.088139,7.47557,0.854539,0.1
278,1,1,0.0795161,0.088862,7.47451,0.861549,0.1
279,1,1,0.0796532,0.0883881,7.4874,0.856955,0.1
280,1,1,0.0779535,0.0874215,7.32763,0.847583,0.1
281,1,1,0.0786809,0.0880101,7.396,0.85329,0.1
282,1,1,0.0788188,0.0882219,7.40896,0.855343,0.1
283,1,1,0.0782705,0.0873401,7.35742,0.846794,0.1
284,1,1,0.0784191,0.0880949,7.37139,0.854112,0.1
285,1,1,0.0781968,0.0876362,7.3505,0.849664,0.1
287,1,1,0.0747014,0.0853317,7.02193,0.827322,0.1
288,1,1,0.0759099,0.0857439,7.13553,0.831318,0.1
289,1,1,0.078641,0.0879549,7.39226,0.852754,0.1
290,1,1,0.0760184,0.0855638,7.14573,0.829572,0.1
291,1,1,0.0788578,0.0881352,7.41263,0.854503,0.1
292,1,1,0.0765737,0.086822,7.19793,0.84177,0.1
293,1,1,0.0793465,0.0883363,7.45857,0.856453,0.1
294,1,1,0.081264,0.0897722,7.63882,0.870373,0.1
295,1,1,0.0782104,0.0878959,7.35178,0.852182,0.1
296,1,1,0.0778167,0.0873245,7.31477,0.846643,0.1
298,1,1,0.0806293,0.0889001,7.57915,0.861918,0.1
299,1,1,0.0782549,0.08788,7.35596,0.852028,0.1
300,1,1,0.0770011,0.087081,7.2381,0.844281,0.1
301,1,1,0.0801524,0.0889492,7.53433,0.862395,0.1
302,1,1,0.0783206,0.0880287,7.36214,0.85347,0.1
303,1,1,0.0782521,0.0877451,7.3557,0.85072,0.1
304,1,1,0.0755995,0.0858731,7.10635,0.83257,0.1
305,1,1,0.0806211,0.0892375,7.57838,0.865189,0.1
306,1,1,0.0780621,0.0878158,7.33784,0.851406,0.1
307,1,1,0.0796878,0.088687,7.49065,0.859852,0.1
308,1,1,0.079735,0.0886978,7.49509,0.859957,0.1
309,1,1,0.0804839,0.0891353,7.56549,0.864199,0.1
310,1,1,0.0778635,0.0875094,7.31917,0.848435,0.1
311,1,1,0.0808088,0.0893611,7.59603,0.866388,0.1
